"PreMajor","IMajor","FMajor","Masters","PhD","Prof","NM","total","MeanAge","Males","White","FT","Transfer","Resident","Foreign","MeanCredits","MeanTransCredit","MeanUCredit","MeanUGPA","MeanHSGPA","MeanTransGPA","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","Fresh","Soph","Jr","Sen","Grad","C1","C2","C3","C4","C5","HS1","HS2","HS3","HS4","HS5","T1","T2","T3","T4","T5","cnum","secnum","term","Dept"
"146","23","103","0","0","0","2","274","21.1","56%","75%","85%","22%","85%","3%","12.9","28.1","27.8","2.84","3.39","3.18","Undeclared","Business","Intmd Business","Education","Dentistry","Law","Psychology","Biology","Sociology","Physical Therapy","50%","29%","14%","7%","0%","PSYCH 1010 - General Psychology","PHIL 1010 - Intro To Philosophy","ECON 2010 - Princ Of Microeconomics","WRTG 2010 - Intermediate Writing","PHIL 1600 - World Religions","BRIGHTON HIGH SCHOOL","OLYMPUS HIGH SCHOOL","SKYLINE HIGH SCHOOL","EAST HIGH SCHOOL","ALTA HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","BRIGHAM YOUNG UNIVERSITY","UTAH VALLEY STATE COLLEGE","WEBER STATE UNIVERSITY","UTAH STATE UNIVERSITY",1010,1,1044,"SOC"
"113","11","77","0","0","0","1","202","21.6","55%","76%","88%","22%","85%","4%","13.4","29.7","27.5","2.77","3.44","3.24","Undeclared","Business","Medicine","Sociology","Pharmacy","Intmd Business","Nursing","Law","Dentistry","English","47%","30%","15%","8%","0%","HIST 1700 - American Civilization","BUS 1010 - Foundations of Business","PSYCH 1010 - General Psychology","WRTG 2010 - Intermediate Writing","MATH 1100 - Quant Analysis","SKYLINE HIGH SCHOOL","BRIGHTON HIGH SCHOOL","JUDGE MEMORIAL HIGH","OLYMPUS HIGH SCHOOL","EAST HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","UTAH STATE UNIVERSITY","COLLEGE OF EASTERN UTAH","WEBER STATE UNIVERSITY",1010,2,1044,"SOC"
"28","6","29","0","0","0","0","63","22.3","44%","81%","83%","35%","89%","0%","13.0","45.2","39.9","2.96","3.33","3.16","Undeclared","Business","Psychology","Intmd Business","Sociology","Art","English","Mass Communication","Computer Science","Pharmacy","24%","25%","29%","22%","0%","ECON 2020 - Princ Of Macroeconomics","ECON 2010 - Princ Of Microeconomics","PSYCH 1010 - General Psychology","WRTG 3400 - Professional Writing","WRTG 2010 - Intermediate Writing","BRIGHTON HIGH SCHOOL","JORDAN HIGH SCHOOL","OLYMPUS HIGH SCHOOL","PARK CITY HIGH SCHOO","SKYLINE HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY","BRIGHAM YOUNG UNIVERSITY HAWAII CAMPUS","DIXIE STATE COLLEGE",1010,3,1044,"SOC"
"30","7","27","0","0","0","2","66","24.0","48%","77%","64%","38%","86%","0%","11.4","45.8","41.7","2.97","3.36","3.16","Undeclared","Business","Intmd Psychology","Social Work","Biology","Sociology","Mechanical Engg","Intmd Business","Medicine","Art","32%","20%","26%","23%","0%","WRTG 2010 - Intermediate Writing","BUS 1010 - Foundations of Business","ACCTG 1420 - Computer Essentials","MATH 1100 - Quant Analysis","BIOL 2315 - Human Anatomy","SKYLINE HIGH SCHOOL","JORDAN HIGH SCHOOL","ALTA HIGH SCHOOL","EAST HIGH SCHOOL","HIGHLAND HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","LDS BUSINESS COLLEGE","UTAH STATE UNIVERSITY","COLLEGE OF EASTERN UTAH","MAINE COLLEGE OF ART",1010,10,1044,"SOC"
"15","3","10","0","0","0","2","30","24.9","57%","87%","67%","53%","90%","0%","11.1","42.6","37.4","2.67","3.38","3.16","Business","Intmd Business","Psychology","Mechanical Engg","Non Matriculated","Marketing","History BA","Computer Science","Economics","Spanish","23%","33%","30%","13%","0%","ECON 2010 - Princ Of Microeconomics","BUS 1010 - Foundations of Business","ECON 2020 - Princ Of Macroeconomics","CHEM 1210 - General Chemistry I","FD NU 1020 - Sci Fndtn Nutr & Health","HILLCREST HIGH SCHOO","MOUNT CARMEL HIGH SC","ALTA HIGH SCHOOL","BRIGHTON HIGH SCHOOL","FREMONT HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH STATE UNIVERSITY","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY - IDAHO","DIXIE STATE COLLEGE",1020,70,1044,"SOC"
"23","3","26","0","0","0","0","52","23.6","42%","63%","85%","50%","98%","0%","12.8","48.4","45.3","2.84","3.45","3.03","Sociology","Undeclared","Psychology","Human Develop & Family Std","Intmd Psychology","Business","Law","Economics","French","Philosophy","8%","25%","46%","21%","0%","SOC 3111 - Research Methods","SOC 3140 - Social Theory","SOC 3561 - Criminology","SOC 3112 - Social Statistics","SOC 3438 - Soc of Marriage & Fam","BRIGHTON HIGH SCHOOL","JUDGE MEMORIAL HIGH","COTTONWOOD HIGH SCHO","HILLCREST HIGH SCHOO","OLYMPUS HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","DIXIE STATE COLLEGE","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY - IDAHO","COLLEGE OF EASTERN UTAH",3020,1,1044,"SOC"
"16","1","44","0","0","0","0","61","22.6","30%","72%","82%","52%","84%","3%","13.0","46.9","50.3","2.88","3.33","3.11","Sociology","Undeclared","Communication Skills","Human Develop & Family Std","SS Behav Science & Health","Political Science","Anthropology","Mass Communication","Architectural Studies","Education","3%","20%","52%","25%","0%","SOC 3140 - Social Theory","SOC 3112 - Social Statistics","SOC 3365 - Ethnic Minorities Amer","ED PS 5965 - Special Topics","SOC 3431 - Social Change","BRIGHTON HIGH SCHOOL","SKYLINE HIGH SCHOOL","JUDGE MEMORIAL HIGH","OLYMPUS HIGH SCHOOL","PARK CITY HIGH SCHOO","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","UTAH STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY","COLLEGE OF EASTERN UTAH",3020,2,1044,"SOC"
"16","4","38","0","0","0","0","58","23.2","57%","64%","84%","50%","79%","3%","12.9","52.8","45.3","2.77","3.11","3.03","Sociology","Undeclared","Psychology","Business","Mass Communication","Education","Computer Science","Economics","Intmd Business","Intmd Psychology","3%","28%","38%","31%","0%","SOC 3140 - Social Theory","SOC 3562 - Juvenile Delinquency","SOC 3431 - Social Change","SOC 3438 - Soc of Marriage & Fam","SOC 3433 - Formal Organizations","MURRAY HIGH SCHOOL","PARK CITY HIGH SCHOO","JORDAN HIGH SCHOOL","JUDGE MEMORIAL HIGH","ALTA HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","WEBER STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY - IDAHO","COLLEGE OF THE CANYONS",3030,1,1044,"SOC"
"20","4","25","0","0","0","0","49","25.2","43%","92%","57%","47%","94%","0%","11.3","51.7","52.7","2.90","3.41","3.15","Sociology","Political Science","Psychology","Intmd Psychology","Medicine","SS Behav Science & Health","Education","Business","Dentistry","Human Develop & Family Std","0%","31%","24%","45%","0%","SOC 3471 - Soc Of Health","SOC 3561 - Criminology","SOC 3560 - Deviant Beh/Soc Control","WRTG 3400 - Professional Writing","SOC 3111 - Research Methods","BRIGHTON HIGH SCHOOL","SKYLINE HIGH SCHOOL","WEST HIGH SCHOOL","BEAR RIVER HIGH SCHO","BONNEVILLE HIGH SCHO","SALT LAKE COMMUNITY COLLEGE","UTAH STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY","COLORADO MOUNTAIN COLLEGE","SNOW COLLEGE",3030,10,1044,"SOC"
"13","1","49","0","0","0","0","63","23.2","40%","70%","89%","49%","90%","0%","14.0","47.2","49.0","2.90","3.39","2.98","Sociology","SS Behav Science & Health","Law","Political Science","Education","Anthropology","History","Human Develop & Family Std","English","Intmd Psychology","3%","13%","44%","40%","0%","SOC 3140 - Social Theory","SOC 3112 - Social Statistics","SOC 3562 - Juvenile Delinquency","SOC 3431 - Social Change","SOC 3337 - Sociology Of Gender","JUDGE MEMORIAL HIGH","MURRAY HIGH SCHOOL","EAST HIGH SCHOOL","FREMONT HIGH SCHOOL","OLYMPUS HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","DIXIE STATE COLLEGE","UTAH STATE UNIVERSITY","WESTMINSTER COLLEGE OF SALT LAKE CITY",3111,1,1044,"SOC"
